timestamp,slotA,slotB
59327,91234,90800
59332,91475,91356
59338,91410,91574
59343,91393,91421
59349,91683,91518
59355,91570,91519
59360,91810,92029
59366,91906,91816
59371,92191,92045
59377,92034,92275
59382,92234,91998
59388,92437,91746
59394,92466,91954
59399,92194,92464
59407,92858,92315
59410,92456,92475
59416,92692,92595
59421,92762,92354
59427,93033,92689
59433,92964,92433
59438,92793,92493
59444,92649,92616
59449,92937,92477
59455,92720,92229
59461,92824,92267
59466,92449,92376
59472,92755,92456
59477,92423,92473
59483,92099,91872
59489,91601,91456
59494,91355,91776
59500,91320,91675
59507,90981,91411
59511,90789,91071
59516,90574,90492
59522,90520,90442
59528,90702,90256
59533,90056,89875
59539,90110,89704
59544,89818,89749
59550,89931,89659
59556,89474,89420
59561,89573,89250
59567,89170,89321
59572,89393,89187
59578,89345,89276
59583,89240,89131
59589,89025,89285
59595,89049,89153
59600,89238,89284
59606,89181,88997
59611,89131,89539
59617,89485,89502
59623,89221,89258
59628,89000,89365
59634,89179,89316
59639,89380,89409
59645,89525,89115
59650,89586,89059
59656,89381,89148
59662,89806,89079
59667,90135,89147
59673,89657,89297
59678,89625,89285
59684,89675,89279
59690,89739,89610
59695,89558,89571
59701,89544,89754
59707,89940,89188
59712,89535,89681
59717,89768,89613
59723,89628,90196
59729,89772,89686
59734,89970,90044
59740,89922,89977
59745,89945,89945
59751,89968,89890
59756,89964,89714
59762,90155,89683
59768,90128,90149
59773,90052,89839
59779,89785,89933
59784,90380,89381
59790,89985,90184
59796,90381,89573
59801,90287,89996
59807,90090,89767
59812,89813,90080
59818,89950,89913
59824,90003,89872
59829,90126,90035
59835,90058,90475
59840,90007,89941
59846,90057,90101
59851,90096,89929
59857,90041,90506
59863,90125,90193
59868,89824,90419
59874,90306,90169
59879,90196,90015
59885,90564,89865
59891,90459,89788
59896,90555,89952
59907,90460,89945
59907,90340,90114
59913,90534,90549
59918,90409,90588
59924,90672,90128
59930,90545,90318
59935,90481,90439
59941,90355,90553
59946,90574,90381
59952,90758,90830
59957,90728,90576
59963,90811,90533
59969,90925,90928
59974,90953,91037
59980,90974,91203
59985,91210,90763
59991,91220,91315
59997,91222,91303
60006,91530,91131
60008,91529,91056
60013,91481,91053
60019,91662,91113
60025,91790,90793
60030,91749,91780
60036,91818,91353
60041,91584,91761
60047,91210,91570
60052,91426,91996
60058,91899,91807
60064,91772,91805
60069,91832,91922
60075,92039,92275
60080,92147,92021
60086,92254,91921
60092,92457,91746
60097,92629,92549
60107,92439,91976
60108,92313,92085
60114,92647,92226
60119,92575,92349
60125,92537,92361
60131,92475,92591
60136,92615,92451
60142,92792,92471
60147,92705,92687
60153,92624,92818
60158,92689,92679
60164,93212,93321
60170,93162,93030
60175,92787,93218
60181,93074,93158
60186,93127,93216
60192,93018,93183
60198,93441,92832
60207,93283,92887
60209,93163,93119
60214,92986,92669
60220,92884,92973
60226,92745,92620
60231,92729,92459
60237,92664,92266
60242,92141,91804
60248,92127,91641
60253,91399,91347
60259,91481,91738
60265,91459,91280
60270,90603,90652
60276,90525,90358
60281,90171,90300
60287,90148,90439
60293,89507,89819
60298,89079,89414
60307,89162,89141
60309,89172,88977
60315,88488,89260
60320,88903,88684
60326,88670,88330
60332,88514,88471
60337,88240,88294
60343,88661,88116
60348,88383,88373
60354,88586,88095
60359,88083,88145
60365,87933,88007
60371,87920,88353
60376,88168,87906
60382,88047,87964
60387,88435,87693
60393,87917,87993
60399,88185,88297
60407,87822,87841
60410,88109,87847
60415,88020,87799
60421,88180,87877
60426,87986,88321
60432,88352,87978
60438,88056,88073
60443,88743,87837
60449,88264,88215
60454,88883,88206
60460,88299,88306
60466,88446,88193
60471,88279,88554
60477,88350,87831
60482,88248,88368
60488,88417,88089
60493,88552,88105
60499,88694,88290
60506,87972,88094
60510,88163,88254
60516,88338,88226
60521,88452,88070
60527,88208,88106
60532,88349,88458
60538,88247,88314
60544,88469,88212
60549,88200,88229
60555,88354,88242
60560,88448,88232
60566,88147,88212
60572,88308,88155
60577,88036,87977
60583,88520,88138
60588,88349,88381
60594,88302,87906
60599,88243,88137
60607,88389,87857
60611,88050,88005
60616,88105,88244
60622,88268,88076
60627,88351,88225
60633,88382,88003
60639,88349,88261
60644,88401,88243
60650,88380,88413
60655,88562,88278
60661,88637,88390
60667,88627,88403
60672,88839,88637
60678,88975,88710
60683,88919,88512
60689,88964,88380
60694,89042,88730
60700,89188,89072
60707,89269,88818
60711,89438,89014
60717,89294,89100
60722,89150,88867
60728,89466,89089
60733,89547,89177
60739,89503,89668
60745,89761,89310
60750,89605,89757
60756,90226,89727
60761,90213,89513
60767,89797,89639
60773,90072,89885
60778,89844,90376
60784,90375,90444
60789,90447,90250
60795,90119,90137
60800,90529,90277
60807,90859,90302
60812,90483,90426
60817,90773,90552
60823,90611,90704
60828,90945,90819
60834,90754,90643
60840,91117,91075
60845,90930,90777
60851,90827,91083
60856,91179,91327
60862,91386,90858
60868,91064,91318
60873,91126,91210
60879,91097,91370
60884,91563,91603
60890,91077,91269
60895,91249,90894
60901,90821,91225
60907,90843,91025
60912,90671,90564
60918,90750,90258
60923,90352,90478
60929,90106,90206
60934,90128,89823
60940,89765,89682
60946,89493,89273
60951,89262,88863
60957,88939,88712
60962,88874,88782
60968,88635,88507
60974,88647,88388
60979,88323,88278
60985,88014,87771
60990,88000,88087
60996,88024,88005
61007,87858,87762
61007,87891,87879
61013,87765,88099
61018,87386,87693
61024,87885,87901
61029,87885,87745
61035,87997,87671
61041,87934,87815
61046,87979,87701
61052,87783,87555
61057,87845,87639
61063,88081,87855
61068,88126,87879
61074,88154,87882
61080,87929,87833
61085,87834,87624
61091,87890,87843
61096,87758,87909
61107,87937,88107
61108,87846,88083
61113,88302,88007
61119,88085,88041
61124,87639,87830
61130,88179,88002
61135,87993,88187
61141,87996,88337
61147,88276,87951
61152,88100,88162
61158,88233,88234
61163,88242,88208
61169,88580,88162
61175,88087,88342
61180,88598,88184
61186,88563,88131
61191,88537,88156
61197,87995,87717
61206,88696,87833
61208,88363,88590
61214,88239,88068
61219,87875,88461
61225,88110,87927
61230,88303,88180
61236,88317,88251
61241,88200,88699
61247,88125,88024
61253,88345,88561
61258,88419,88652
61264,88284,88283
61269,88697,88250
61275,88528,88323
61281,88398,88373
61286,88584,88437
61292,88799,88408
61297,88637,88789
61307,88655,88536
61309,88657,88590
61314,88639,88745
61320,88606,88727
61325,89051,88571
61331,88817,88627
61336,88716,89008
61342,89051,88860
61348,89181,89006
61353,89040,89071
61359,89120,88875
61364,89220,89378
61370,89310,89047
61376,89500,89326
61381,89322,89241
61387,89477,89334
61392,89349,89062
61398,89735,89192
61407,89506,89609
61409,89712,89370
61414,89627,89611
61420,89934,89687
61426,89736,89909
61431,89952,89511
61437,89869,90364
61443,89914,89972
61448,89910,90109
61454,90159,90310
61459,89918,89879
61465,90155,90131
61470,90544,90549
61476,90359,90381
61481,90505,90319
61487,90633,90190
61493,90650,90557
61498,90717,90621
61506,90693,90442
61509,90555,90362
61515,90713,90363
61521,90839,90709
61526,90587,90768
61532,91042,90878
61538,90983,90778
61543,90974,90432
61549,90686,90569
61554,90551,90477
61560,90459,90222
61565,90415,90106
61571,90024,89826
61576,90180,89548
61582,89802,89507
61588,89331,89044
61593,89062,88925
61599,88926,88486
61607,88800,88216
61610,88481,88449
61615,88213,88188
61621,88103,88032
61627,87908,87499
61632,87530,87504
61638,87568,87718
61644,87433,87260
61649,86928,87503
61655,87461,87489
61660,87726,87271
61666,87178,86930
61671,87010,87178
61677,87067,86984
61683,87096,87146
61688,87005,87225
61694,86779,86987
61699,87156,86776
61706,87366,87216
61710,87178,87270
61716,87245,86927
61722,86906,87036
61727,87270,87159
61733,87261,86727
61738,87222,86862
61744,87195,86908
61750,87079,86640
61755,87212,86650
61761,87135,86956
61766,87189,86858
61772,87282,86839
61777,87008,86974
61783,87052,87142
61789,87264,86670
61794,87105,86881
61800,87205,87248
61807,87073,87418
61811,87139,87093
61817,87118,87437
61822,87091,87209
61828,86966,87358
61833,87306,87181
61839,87426,87290
61844,87488,87208
61850,87260,87276
61856,87267,87553
61861,87492,87299
61867,87688,87021
61872,87814,87406
61878,87551,87219
61884,87668,87020
61889,87489,86784
61895,87382,87255
61900,87753,87514
61907,87495,87503
61911,87593,87639
61917,87900,87514
61923,87566,87634
61928,87763,87614
61934,87609,87375
61939,87506,87748
61945,87919,88189
61951,88089,87793
61956,87869,88205
61962,88074,88111
61967,87716,88066
61973,88211,87987
61978,88416,88247
61984,88586,88129
61990,88492,88276
61995,88672,88197
62001,88190,88402
62007,88720,88113
62012,88607,88678
62018,89042,88379
62023,88736,88549
62029,89094,88607
62034,88771,88777
62040,89150,88936
62045,88828,89164
62051,89281,89051
62057,89476,88848
62062,89180,89110
62068,88961,89576
62073,89452,89171
62079,89147,89363
62085,89508,89282
62090,89709,89771
62096,89663,89538
62107,89669,89654
62107,89868,90221
62113,90122,89914
62118,90036,89700
62124,89774,89588
62129,89922,89927
62135,90630,89939
62140,89956,90273
62146,90266,89869
62151,90191,89856
62157,89988,90326
62163,90315,90498
62168,90439,90604
62174,90599,90379
62179,90400,90806
62185,90252,90729
62191,90672,90868
62196,90652,90619
62207,90761,90619
62207,90454,91004
62213,90575,90560
62219,90463,90015
62224,90401,90121
62230,90191,90085
62235,90068,89874
62241,89794,89565
62246,89940,88972
62252,89419,88757
62258,89413,88798
62263,88603,88518
62269,88466,88498
62274,88499,87973
62280,88470,88065
62286,87826,88089
62291,87900,87923
62297,87491,87428
62307,87805,87379
62308,87586,87043
62313,87545,87612
62319,87618,87488
62325,87666,86994
62330,87417,87369
62336,87349,87369
62341,87212,87574
62347,87315,87230
62352,87337,87147
62358,87072,86933
62364,87233,86933
62369,87298,87115
62375,87523,87235
62380,87248,87393
62386,87167,87218
62392,87384,87303
62397,87423,87472
62407,87506,87585
