timestamp,slotA-Channel1
18486,128104
18491,128285
18497,128334
18506,128458
18508,128544
18513,128651
18519,128706
18525,128819
18530,128920
18536,128942
18542,129062
18547,129175
18553,129203
18558,129313
18564,129326
18569,129456
18575,129522
18580,129556
18586,129685
18592,129773
18597,129797
18607,129824
18608,129913
18614,130009
18619,130009
18625,130042
18631,130104
18636,130122
18642,130199
18647,130305
18653,130311
18659,130408
18664,130453
18670,130463
18675,130531
18681,130552
18686,130544
18692,130496
18697,130510
18707,130446
18709,130167
18714,129981
18720,129651
18725,129256
18731,128895
18737,128352
18742,127842
18748,127301
18753,126825
18759,126148
18765,125499
18770,125071
18776,124703
18781,124391
18787,124164
18792,123934
18798,123735
18806,123567
18809,123558
18815,123359
18820,123388
18826,123249
18831,123320
18837,123263
18842,123239
18848,123308
18854,123431
18859,123393
18865,123509
18870,123614
18876,123760
18882,123839
18887,124049
18893,124175
18898,124314
18907,124503
18909,124725
18915,124901
18921,125059
18926,125201
18932,125293
18937,125443
18943,125632
18948,125694
18954,125879
18960,126012
18965,126116
18971,126213
18976,126239
18982,126289
18987,126375
18993,126453
18999,126445
19007,126549
19010,126558
19015,126599
19021,126589
19026,126641
19032,126644
19038,126655
19043,126718
19049,126775
19054,126756
19060,126855
19066,126820
19071,126930
19077,127004
19082,126982
19088,127141
19093,127161
19099,127223
19107,127273
19110,127249
19116,127321
19121,127421
19127,127476
19132,127596
19138,127673
19143,127755
19149,127860
19155,127864
19160,127986
19166,128047
19171,128111
19177,128238
19183,128344
19188,128462
19194,128529
19199,128582
19207,128662
19210,128751
19216,128922
19222,128974
19227,129048
19233,129113
19238,129220
19244,129315
19250,129358
19255,129452
19261,129460
19266,129586
19272,129690
19277,129666
19283,129800
19288,129843
19294,129861
19300,129980
19307,130036
19311,130145
19316,130246
19322,130263
19327,130336
19333,130513
19339,130459
19344,130593
19350,130613
19355,130727
19361,130764
19367,130846
19372,130942
19378,130961
19383,131048
19389,131154
19394,131165
19400,131234
19407,131288
19411,131356
19417,131224
19422,131159
19428,131016
19433,130803
19439,130514
19445,130250
19450,129821
19456,129439
19461,128876
19467,128485
19472,127947
19478,127366
19484,126773
19489,126258
19495,125717
19500,125452
19507,125128
19511,124834
19517,124590
19523,124484
19528,124362
19534,124312
19539,124234
19545,124177
19551,124190
19556,124230
19562,124235
19567,124205
19573,124347
19578,124450
19584,124537
19589,124616
19595,124689
19601,124756
19607,124932
19612,124978
19617,125155
19623,125202
19628,125331
19634,125478
19640,125635
19645,125796
19651,125841
19657,126019
19662,126144
19668,126241
19673,126393
19679,126546
19684,126610
19690,126649
19695,126755
19701,126815
19707,126881
19712,126926
19718,126998
19723,127034
19729,127060
19734,127105
19740,127133
19746,127215
19751,127229
19757,127310
19762,127319
19768,127369
19774,127466
19779,127541
19785,127533
19790,127597
19796,127644
19807,127708
19807,127842
19813,127774
19818,127886
19824,127962
19829,128039
19835,128158
19840,128265
19846,128325
19852,128394
19857,128592
19863,128682
19868,128755
19874,128888
19879,128965
19885,129101
19891,129197
19896,129317
19906,129365
19907,129467
19913,129595
19918,129689
19924,129743
19930,129898
19935,129942
19941,130019
19946,130135
19952,130253
19957,130319
19963,130372
19969,130447
19974,130579
19980,130661
19985,130747
19991,130826
19996,130889
20007,130868
20008,130988
20013,131034
20019,131039
20024,131130
20030,131202
20035,131244
20041,131253
20047,131357
20052,131418
20058,131383
20063,131558
20069,131503
20075,131637
20080,131652
20086,131651
20091,131743
20097,131831
20107,131895
20108,132026
20114,132022
20119,132064
20125,132082
20130,132170
20136,132167
20141,132242
20147,132326
20152,132381
20158,132446
20164,132725
20169,132747
20175,132502
20180,132442
20186,132385
20192,132263
20197,132220
20207,131853
20208,131338
20214,130728
20219,129903
20225,129136
20231,128197
20236,127116
20242,126167
20247,125640
20253,125324
20258,125157
20264,125022
20270,125006
20275,124860
20281,124932
20286,124943
20292,124907
20298,124813
20307,124809
20309,124795
20314,124796
20320,124786
20325,124761
20331,124763
20337,124781
20342,124819
20348,124937
20353,124969
20359,125095
20364,125143
20370,125302
20376,125462
20381,125592
20387,125669
20392,125812
20398,125847
20407,126088
20409,126141
20415,126217
20420,126311
20426,126343
20431,126443
20437,126580
20442,126581
20448,126642
20454,126692
20459,126682
20465,126680
20470,126701
20476,126640
20481,126625
20487,126596
20493,126641
20498,126477
20507,126455
20509,126407
20515,126335
20521,126293
20526,126215
20532,126170
20537,126141
20543,126096
20548,126095
20554,126064
20560,126039
20565,126172
20571,126177
20576,126167
20582,126197
20587,126238
20593,126339
20599,126413
20607,126471
20610,126570
